Glacier_ID,Area_km2,ELA_Altitude_m
RGI2000-v7.0-G-01-18804,1.21,1135.42
RGI2000-v7.0-G-01-18807,1.71,1276.48
RGI2000-v7.0-G-01-18812,1.26,1345.3
RGI2000-v7.0-G-01-18813,9.06,1490.22
RGI2000-v7.0-G-01-18818,6.75,1533.13
RGI2000-v7.0-G-01-18819,1.39,1515.08
RGI2000-v7.0-G-01-18827,9.01,1443.23
RGI2000-v7.0-G-01-18828,1.36,1558.99
RGI2000-v7.0-G-01-18831,1.04,897.56
RGI2000-v7.0-G-01-18836,2.49,1177.38
RGI2000-v7.0-G-01-18839,2.66,1330.64
RGI2000-v7.0-G-01-18849,18.64,1508.03
RGI2000-v7.0-G-01-18853,1.13,1755.0
RGI2000-v7.0-G-01-18857,2.59,1547.25
RGI2000-v7.0-G-01-18862,1.13,1715.18
RGI2000-v7.0-G-01-18864,15.28,1654.27
RGI2000-v7.0-G-01-18866,3.51,1662.08
RGI2000-v7.0-G-01-18867,1.2,1657.67
RGI2000-v7.0-G-01-18868,1.33,1632.86
RGI2000-v7.0-G-01-18869,461.38,1605.08
RGI2000-v7.0-G-01-18873,2.98,1526.32
RGI2000-v7.0-G-01-18876,1.97,1490.23
RGI2000-v7.0-G-01-18885,3.65,1769.25
RGI2000-v7.0-G-01-18889,1.43,1515.98
RGI2000-v7.0-G-01-18890,2.05,1569.48
RGI2000-v7.0-G-01-18900,9.78,1404.28
RGI2000-v7.0-G-01-19162,2.28,1857.66
RGI2000-v7.0-G-01-19164,1.15,1576.14
RGI2000-v7.0-G-01-19165,2.2,1645.54
RGI2000-v7.0-G-01-19175,5.95,1710.87
RGI2000-v7.0-G-01-19177,1.91,1650.14
RGI2000-v7.0-G-01-19179,1.07,1703.28
RGI2000-v7.0-G-01-19180,11.19,1727.06
RGI2000-v7.0-G-01-19181,3.55,1578.7
RGI2000-v7.0-G-01-19184,2.91,1701.96
RGI2000-v7.0-G-01-19186,1.35,1601.67
RGI2000-v7.0-G-01-19187,1.07,1617.37
RGI2000-v7.0-G-01-19188,1.53,1658.15
RGI2000-v7.0-G-01-19189,2.44,1766.05
RGI2000-v7.0-G-01-19236,1.27,1934.02
RGI2000-v7.0-G-01-19240,1.34,1892.84
RGI2000-v7.0-G-01-19242,2.66,1941.69
RGI2000-v7.0-G-01-19244,16.16,1803.8
RGI2000-v7.0-G-01-19246,81.63,1771.07
RGI2000-v7.0-G-01-19497,26.09,1527.27
RGI2000-v7.0-G-01-19505,1.48,1423.76
RGI2000-v7.0-G-01-19507,4.53,1113.48
RGI2000-v7.0-G-01-19515,4.01,1343.32
RGI2000-v7.0-G-01-19536,1.48,1152.74
RGI2000-v7.0-G-01-19543,1.11,1368.92
RGI2000-v7.0-G-01-19545,1.34,1417.1
RGI2000-v7.0-G-01-19546,1.26,1388.73
RGI2000-v7.0-G-01-19551,2.66,1434.12
RGI2000-v7.0-G-01-19586,1.02,1518.45
RGI2000-v7.0-G-01-19587,10.9,1223.75
RGI2000-v7.0-G-01-20350,2.33,1641.3
RGI2000-v7.0-G-01-20351,1.67,1751.47
RGI2000-v7.0-G-01-20352,2.31,1749.85
RGI2000-v7.0-G-01-20353,1.84,1534.58
RGI2000-v7.0-G-01-20355,1.84,1893.31
RGI2000-v7.0-G-01-20357,1.11,1757.4
RGI2000-v7.0-G-01-20361,43.65,1711.55
RGI2000-v7.0-G-01-20404,192.91,1536.29
RGI2000-v7.0-G-01-26726,4.83,1541.39
RGI2000-v7.0-G-01-26731,2.61,1636.29
RGI2000-v7.0-G-01-26733,1.73,1665.17
RGI2000-v7.0-G-01-26735,1.27,1566.65
RGI2000-v7.0-G-01-26746,27.31,1740.26
RGI2000-v7.0-G-01-26751,1.04,1686.89
RGI2000-v7.0-G-01-26752,1.59,1900.14
RGI2000-v7.0-G-01-26753,1.19,1758.69
RGI2000-v7.0-G-01-26754,1.68,1895.57
RGI2000-v7.0-G-01-26756,4.24,1797.66
RGI2000-v7.0-G-01-26758,5.07,1947.22
RGI2000-v7.0-G-01-26762,1.16,1817.28
RGI2000-v7.0-G-01-26763,1.86,1958.88
RGI2000-v7.0-G-01-26764,4.0,1973.78
RGI2000-v7.0-G-01-26766,5.29,1931.41
RGI2000-v7.0-G-01-26768,1.47,1773.58
RGI2000-v7.0-G-01-26774,1.33,1282.86
RGI2000-v7.0-G-01-26776,3.91,1966.92
RGI2000-v7.0-G-01-26781,16.76,1847.33
RGI2000-v7.0-G-01-26784,3.49,1921.0
RGI2000-v7.0-G-01-26785,27.44,1949.19
RGI2000-v7.0-G-01-26789,7.23,1858.68
RGI2000-v7.0-G-01-26790,3.04,1854.98
RGI2000-v7.0-G-01-26791,3.09,1628.38
RGI2000-v7.0-G-01-26793,4.51,1631.8
RGI2000-v7.0-G-01-26794,5.52,1752.3
RGI2000-v7.0-G-01-26798,26.28,1822.53
RGI2000-v7.0-G-01-26800,25.63,1792.3
RGI2000-v7.0-G-01-26804,5.55,1466.99
RGI2000-v7.0-G-01-26806,53.62,1460.75
RGI2000-v7.0-G-01-26807,1.11,1620.58
RGI2000-v7.0-G-01-26809,2.44,1522.46
RGI2000-v7.0-G-01-26813,1.14,1605.71
RGI2000-v7.0-G-01-26815,1.3,1492.4
RGI2000-v7.0-G-01-26820,1.19,1520.26
RGI2000-v7.0-G-01-26821,64.52,1783.16
RGI2000-v7.0-G-01-26827,4.02,1384.03
RGI2000-v7.0-G-01-26829,1.09,1239.16
RGI2000-v7.0-G-01-26838,1.26,1480.18
RGI2000-v7.0-G-01-26842,1.08,1747.05
RGI2000-v7.0-G-01-26843,1.17,2060.6
RGI2000-v7.0-G-01-26845,1.29,1814.33
RGI2000-v7.0-G-01-26847,1.27,1582.75
RGI2000-v7.0-G-01-26852,1.65,1591.32
RGI2000-v7.0-G-01-26855,1.77,1322.09
RGI2000-v7.0-G-01-26856,1.17,1492.1
RGI2000-v7.0-G-01-26858,1.22,1391.88
RGI2000-v7.0-G-01-26861,1.29,1242.22
RGI2000-v7.0-G-01-26862,2.55,1375.31
RGI2000-v7.0-G-01-26864,4.18,1098.99
RGI2000-v7.0-G-01-26866,1.98,1201.75
RGI2000-v7.0-G-01-26867,3.21,1220.52
RGI2000-v7.0-G-01-26870,6.94,1047.02
RGI2000-v7.0-G-01-26878,1.29,983.73
RGI2000-v7.0-G-01-26883,2.87,1253.34
RGI2000-v7.0-G-01-26884,1.76,1132.31
RGI2000-v7.0-G-01-26885,1.34,1270.08
RGI2000-v7.0-G-01-26886,158.24,2026.68
RGI2000-v7.0-G-01-26887,7.06,1262.65
RGI2000-v7.0-G-01-26888,1.71,1106.21
RGI2000-v7.0-G-01-26892,1.04,1322.9
RGI2000-v7.0-G-01-26894,2.68,1427.76
RGI2000-v7.0-G-01-26898,5.11,1319.17
RGI2000-v7.0-G-01-26899,2.17,1283.61
RGI2000-v7.0-G-01-26901,1.08,1473.9
RGI2000-v7.0-G-01-26904,1.31,1811.57
RGI2000-v7.0-G-01-26907,2.71,1797.92
RGI2000-v7.0-G-01-26917,1.32,1554.89
RGI2000-v7.0-G-01-26918,1.02,1574.77
RGI2000-v7.0-G-01-26919,4.55,1338.03
RGI2000-v7.0-G-01-26920,1.12,1288.66
RGI2000-v7.0-G-01-26922,1.01,1767.73
RGI2000-v7.0-G-01-26923,2.07,1839.29
RGI2000-v7.0-G-01-26931,1.33,1449.03
RGI2000-v7.0-G-01-26939,1.21,1902.13
RGI2000-v7.0-G-01-26943,1.17,1979.01
RGI2000-v7.0-G-01-26949,1.25,1744.35
RGI2000-v7.0-G-01-26951,28.32,1600.82
RGI2000-v7.0-G-01-26956,6.09,1364.66
RGI2000-v7.0-G-01-26960,2.13,1400.4
RGI2000-v7.0-G-01-26963,48.3,1367.04
RGI2000-v7.0-G-01-26968,1.83,1474.81
RGI2000-v7.0-G-01-26970,2.29,1588.37
RGI2000-v7.0-G-01-26976,27.34,1490.49
RGI2000-v7.0-G-01-26997,2.19,3366.87
RGI2000-v7.0-G-01-26998,64.67,1727.79
RGI2000-v7.0-G-01-27006,1.14,1206.53
RGI2000-v7.0-G-01-27010,45.88,821.09
RGI2000-v7.0-G-01-27011,165.67,2181.6
RGI2000-v7.0-G-01-27049,1.02,1518.44
RGI2000-v7.0-G-01-27051,229.64,1454.37
RGI2000-v7.0-G-01-27056,9.52,1359.98
RGI2000-v7.0-G-01-27057,1.22,1249.48
RGI2000-v7.0-G-01-27058,4.04,1197.63
RGI2000-v7.0-G-01-27060,2.34,1037.44
RGI2000-v7.0-G-01-27061,1.39,1002.49
RGI2000-v7.0-G-01-27063,1.06,1290.93
RGI2000-v7.0-G-01-27071,103.67,1057.43
RGI2000-v7.0-G-01-27081,1.59,883.8
RGI2000-v7.0-G-01-27085,1.02,1079.3
RGI2000-v7.0-G-01-27087,5.1,989.27
RGI2000-v7.0-G-01-27123,2.88,2987.97
RGI2000-v7.0-G-01-27133,55.7,1390.48
RGI2000-v7.0-G-01-27147,2.65,1548.78
RGI2000-v7.0-G-01-27155,2.66,1594.56
RGI2000-v7.0-G-01-27156,7.17,1520.59
RGI2000-v7.0-G-01-27162,22.45,1784.91
RGI2000-v7.0-G-01-27163,1.76,1417.92
RGI2000-v7.0-G-01-27166,120.35,2270.52
RGI2000-v7.0-G-01-27174,36.27,1721.46
RGI2000-v7.0-G-01-27177,4.29,1263.08
RGI2000-v7.0-G-01-27178,5.38,1044.62
RGI2000-v7.0-G-01-27209,3.65,884.54
RGI2000-v7.0-G-01-27210,549.29,969.84
RGI2000-v7.0-G-01-27219,1.68,969.24
RGI2000-v7.0-G-01-27220,1.59,814.32
RGI2000-v7.0-G-01-27222,3.19,1062.84
RGI2000-v7.0-G-01-27227,3.39,1114.89
RGI2000-v7.0-G-01-27230,6.05,970.82
RGI2000-v7.0-G-01-27234,3.02,927.37
RGI2000-v7.0-G-01-27237,3.1,934.53
RGI2000-v7.0-G-01-27242,1.85,729.67
RGI2000-v7.0-G-01-27243,2.02,810.41
RGI2000-v7.0-G-01-27247,25.81,1005.05
RGI2000-v7.0-G-01-27252,62.95,1020.01
RGI2000-v7.0-G-01-27269,1.49,888.1
RGI2000-v7.0-G-01-27286,5.94,885.44
RGI2000-v7.0-G-01-27291,6.27,987.54
RGI2000-v7.0-G-01-27314,1.07,1305.51
RGI2000-v7.0-G-01-27315,16.49,1192.24
RGI2000-v7.0-G-01-27329,31.59,1585.26
RGI2000-v7.0-G-01-27330,1.05,1592.39
RGI2000-v7.0-G-01-27335,22.79,1371.07
RGI2000-v7.0-G-01-27336,5.04,1296.94
RGI2000-v7.0-G-01-27337,1.42,1539.94
RGI2000-v7.0-G-01-27338,1.7,1597.54
RGI2000-v7.0-G-01-27355,176.43,1876.58
RGI2000-v7.0-G-01-27357,237.25,2582.52
RGI2000-v7.0-G-01-27371,1.49,1606.07
RGI2000-v7.0-G-01-27372,181.75,1810.51
RGI2000-v7.0-G-01-27374,65.31,1196.44
RGI2000-v7.0-G-01-27376,3.59,1206.49
RGI2000-v7.0-G-01-27379,457.54,1237.3
RGI2000-v7.0-G-01-27383,3.78,1943.23
RGI2000-v7.0-G-01-27384,1.5,2046.83
RGI2000-v7.0-G-01-27385,1.97,1831.33
RGI2000-v7.0-G-01-27386,1.18,2079.9
RGI2000-v7.0-G-01-27388,7.95,1920.1
